date,DEXUSUK,DEXUSUK_scaled,lag_1_scaled
2016-09-07,1.3339,0.3255772959633352,0.3414419178565131
2016-09-08,1.3301,0.3188789000528822,0.3255772959633352
2016-09-09,1.3257,0.3111228626828839,0.3188789000528822
2016-09-12,1.3313,0.32099418297197246,0.3111228626828839
2016-09-13,1.3184,0.2982548915917502,0.32099418297197246
2016-09-14,1.3204,0.3017803631235676,0.2982548915917502
2016-09-15,1.3215,0.30371937246606695,0.3017803631235676
2016-09-16,1.309,0.2816851753922087,0.30371937246606695
2016-09-19,1.3051,0.2748105059051644,0.2816851753922087
2016-09-20,1.2974,0.26123744050766806,0.2748105059051644
2016-09-21,1.2978,0.2619425348140316,0.26123744050766806
2016-09-22,1.3092,0.28203772254539006,0.2619425348140316
2016-09-23,1.2959,0.2585933368588047,0.28203772254539006
2016-09-26,1.2978,0.2619425348140316,0.2585933368588047
2016-09-27,1.3005,0.2667019213819848,0.2619425348140316
2016-09-28,1.2996,0.2651154591926672,0.2667019213819848
2016-09-29,1.2991,0.2642340913097123,0.2651154591926672
2016-09-30,1.3015,0.2684646571478937,0.2642340913097123
2016-10-03,1.284,0.23761678124449137,0.2684646571478937
2016-10-04,1.2746,0.22104706504494942,0.23761678124449137
2016-10-05,1.2745,0.22087079146835897,0.22104706504494942
2016-10-06,1.2647,0.20359598096245346,0.22087079146835897
2016-10-07,1.2434,0.16604970914859862,0.20359598096245346
2016-10-10,1.2434,0.16604970914859862,0.16604970914859862
2016-10-11,1.2218,0.12797461660497067,0.16604970914859862
2016-10-12,1.2195,0.12392032434338107,0.12797461660497067
2016-10-13,1.2201,0.12497796580292597,0.12392032434338107
2016-10-14,1.2189,0.12286268288383573,0.12497796580292597
2016-10-17,1.2186,0.12233386215406306,0.12286268288383573
2016-10-18,1.231,0.14419178565133084,0.12233386215406306
2016-10-19,1.2279,0.13872730477701367,0.14419178565133084
2016-10-20,1.2256,0.13467301251542407,0.13872730477701367
2016-10-21,1.221,0.126564427992244,0.13467301251542407
2016-10-24,1.2204,0.12550678653269864,0.126564427992244
2016-10-25,1.2164,0.1184558434690639,0.12550678653269864
2016-10-26,1.2234,0.13079499383042492,0.1184558434690639
2016-10-27,1.2173,0.12004230565838192,0.13079499383042492
2016-10-28,1.2155,0.11686938127974633,0.12004230565838192
2016-10-31,1.2212,0.12691697514542577,0.11686938127974633
2016-11-01,1.2218,0.12797461660497067,0.12691697514542577
2016-11-02,1.2315,0.1450731535342853,0.12797461660497067
2016-11-03,1.2454,0.169575180680416,0.1450731535342853
2016-11-04,1.2546,0.18579234972677572,0.169575180680416
2016-11-07,1.2403,0.16058522827428146,0.18579234972677572
2016-11-08,1.2372,0.15512074739996473,0.16058522827428146
2016-11-09,1.2474,0.17310065221223336,0.15512074739996473
2016-11-10,1.2523,0.18173805746518568,0.17310065221223336
2016-11-11,1.2523,0.18173805746518568,0.18173805746518568
2016-11-14,1.2469,0.1722192843292789,0.18173805746518568
2016-11-15,1.2422,0.16393442622950793,0.1722192843292789
2016-11-16,1.245,0.16887008637405243,0.16393442622950793
2016-11-17,1.245,0.16887008637405243,0.16887008637405243
2016-11-18,1.2327,0.14718843645337554,0.16887008637405243
2016-11-21,1.2474,0.17310065221223336,0.14718843645337554
2016-11-22,1.2424,0.16428697338268972,0.17310065221223336
2016-11-23,1.2458,0.17028027498677956,0.16428697338268972
2016-11-24,1.2458,0.17028027498677956,0.17028027498677956
2016-11-25,1.2462,0.17098536929314267,0.17028027498677956
2016-11-28,1.2411,0.16199541688700858,0.17098536929314267
2016-11-29,1.2505,0.1785651330865501,0.16199541688700858
2016-11-30,1.2481,0.1743345672483696,0.1785651330865501
2016-12-01,1.2596,0.19460602855631937,0.1743345672483696
2016-12-02,1.2685,0.21029437687290642,0.19460602855631937
2016-12-05,1.2708,0.21434866913449646,0.21029437687290642
2016-12-06,1.2706,0.21399612198131468,0.21434866913449646
2016-12-07,1.2604,0.19601621716904605,0.21399612198131468
2016-12-08,1.2574,0.19072800987132021,0.19601621716904605
2016-12-09,1.259,0.19354838709677402,0.19072800987132021
2016-12-12,1.2677,0.20888418826017974,0.19354838709677402
2016-12-13,1.2685,0.21029437687290642,0.20888418826017974
2016-12-14,1.2706,0.21399612198131468,0.21029437687290642
2016-12-15,1.2389,0.15811739820200943,0.21399612198131468
2016-12-16,1.2478,0.17380574651859693,0.15811739820200943
2016-12-19,1.2419,0.1634056054997357,0.17380574651859693
2016-12-20,1.2358,0.1526529173276927,0.1634056054997357
2016-12-21,1.2348,0.1508901815617838,0.1526529173276927
2016-12-22,1.2301,0.14260532346201282,0.1508901815617838
2016-12-23,1.2252,0.1339679182090605,0.14260532346201282
2016-12-26,1.2252,0.1339679182090605,0.1339679182090605
2016-12-27,1.2261,0.13555438039837808,0.1339679182090605
2016-12-28,1.2222,0.12867971091133423,0.13555438039837808
2016-12-29,1.2237,0.13132381456019715,0.12867971091133423
2016-12-30,1.2337,0.14895117221928444,0.13132381456019715
2017-01-02,1.2337,0.14895117221928444,0.14895117221928444
2017-01-03,1.2256,0.13467301251542407,0.14895117221928444
2017-01-04,1.2299,0.14225277630883104,0.13467301251542407
2017-01-05,1.2415,0.16270051119337214,0.14225277630883104
